file,app,iscorrect,topk,isCorrectMRR,firstrankIscorrect
fold_3valid.csv,project944,1,10,1,0.142857143
fold_3valid.csv,project963,0,10,0,0
fold_3valid.csv,project262,1,10,1,0.166666667
fold_3valid.csv,project210,1,10,1,0.333333333
fold_3valid.csv,project868,1,10,1,1
fold_3valid.csv,project261,0,10,0,0
fold_3valid.csv,project400,0,10,0,0
fold_3valid.csv,project920,0,10,0,0
fold_3valid.csv,project947,0,10,0,0
fold_3valid.csv,project591,0,10,0,0
fold_3valid.csv,project524,1,10,1,0.142857143
fold_3valid.csv,project895,0,10,0,0
fold_3valid.csv,project269,1,10,1,0.333333333
fold_3valid.csv,project858,1,10,1,0.25
fold_3valid.csv,project723,1,10,1,0.25
fold_3valid.csv,project641,1,10,1,1
fold_3valid.csv,project358,0,10,0,0
fold_3valid.csv,project726,1,10,1,0.2
fold_3valid.csv,project670,1,10,1,0.166666667
fold_3valid.csv,project281,1,10,1,1
fold_3valid.csv,project553,1,10,1,0.111111111
fold_3valid.csv,project567,0,10,0,0
fold_3valid.csv,project637,1,10,1,0.25
fold_3valid.csv,project843,0,10,0,0
fold_3valid.csv,project536,0,10,0,0
fold_3valid.csv,project987,1,10,1,0.333333333
fold_3valid.csv,project477,1,10,1,0.25
fold_3valid.csv,project589,0,10,0,0
fold_3valid.csv,project45,0,10,1,0.058823529
fold_3valid.csv,project786,0,10,1,0.047619048
fold_3valid.csv,project292,1,10,1,1
fold_3valid.csv,project686,1,10,1,0.333333333
fold_3valid.csv,project403,1,10,1,0.25
fold_3valid.csv,project391,1,10,1,0.2
fold_3valid.csv,project328,0,10,0,0
fold_3valid.csv,project971,1,10,1,0.1
fold_3valid.csv,project558,1,10,1,1
fold_3valid.csv,project375,0,10,1,0.035714286
fold_3valid.csv,project26,0,10,0,0
fold_3valid.csv,project374,0,10,1,0.083333333
fold_3valid.csv,project890,1,10,1,0.333333333
fold_3valid.csv,project822,0,10,0,0
fold_3valid.csv,project124,1,10,1,0.333333333
fold_3valid.csv,project859,1,10,1,0.333333333
fold_3valid.csv,project160,0,10,0,0
fold_3valid.csv,project929,1,10,1,0.25
fold_3valid.csv,project642,1,10,1,1
fold_3valid.csv,project226,0,10,0,0
fold_3valid.csv,project21,1,10,1,1
fold_3valid.csv,project475,0,10,1,0.03030303
fold_3valid.csv,project342,1,10,1,1
